date,place,risk_score
2020-08-31,Acton,7.085891600466704
2020-09-01,Acton,6.622970259615391
2020-09-02,Acton,6.174222488256318
2020-09-03,Acton,5.559902831379383
2020-09-04,Acton,4.921377606340738
2020-08-31,Agoura Hills,13.99241937537189
2020-09-01,Agoura Hills,13.204767793221595
2020-09-02,Agoura Hills,12.169442636766428
2020-09-03,Agoura Hills,10.782147366132104
2020-09-04,Agoura Hills,9.401153397201394
2020-08-31,Alhambra,116.6377946000467
2020-09-01,Alhambra,113.55685946542974
2020-09-02,Alhambra,105.80573204697545
2020-09-03,Alhambra,95.30874628162329
2020-09-04,Alhambra,84.53539973303278
2020-08-31,Altadena,111.96663170386381
2020-09-01,Altadena,106.2885161420454
2020-09-02,Altadena,99.16689348024272
2020-09-03,Altadena,89.03433181021748
2020-09-04,Altadena,78.50220501700123
2020-08-31,Arcadia,60.015988977396376
2020-09-01,Arcadia,57.18912685792383
2020-09-02,Arcadia,53.203588818634614
2020-09-03,Arcadia,47.72443452755534
2020-09-04,Arcadia,42.05685828456981
2020-08-31,Artesia,24.923749470526946
2020-09-01,Artesia,22.026428134797424
2020-09-02,Artesia,20.422787728817084
2020-09-03,Artesia,18.201700899360656
2020-09-04,Artesia,15.90555802162854
2020-08-31,Avalon,0.556073552428501
2020-09-01,Avalon,0.5333560785543257
2020-09-02,Avalon,0.49426570593403213
2020-09-03,Avalon,0.44182192490137984
2020-09-04,Avalon,0.38815683196939343
2020-08-31,Baldwin Park,300.2446819458793
2020-09-01,Baldwin Park,270.09847533786916
2020-09-02,Baldwin Park,251.236345881687
2020-09-03,Baldwin Park,224.86962813439604
2020-09-04,Baldwin Park,197.1756963330407
2020-08-31,Bell,176.97733981189404
2020-09-01,Bell,169.75824397694464
2020-09-02,Bell,156.99680771100066
2020-09-03,Bell,139.64036619841613
2020-09-04,Bell,122.16628015816204
2020-08-31,Bell Gardens,170.4570839635766
2020-09-01,Bell Gardens,166.1368497780836
2020-09-02,Bell Gardens,157.80245873477992
2020-09-03,Bell Gardens,144.78680812189876
2020-09-04,Bell Gardens,130.87923147589936
2020-08-31,Bellflower,246.47495085044244
2020-09-01,Bellflower,226.25357755067714
2020-09-02,Bellflower,209.7357515391599
2020-09-03,Bellflower,186.94730010362153
2020-09-04,Bellflower,163.6618282326495
2020-08-31,Beverly Hills,240.87279203013756
2020-09-01,Beverly Hills,216.4191256563756
2020-09-02,Beverly Hills,198.2931882027998
2020-09-03,Beverly Hills,174.69196076107886
2020-09-04,Beverly Hills,150.90970281761437
2020-08-31,Burbank,386.9266104568149
2020-09-01,Burbank,368.431868401471
2020-09-02,Burbank,349.4523241245791
2020-09-03,Burbank,319.8928585816487
2020-09-04,Burbank,288.15214117133104
2020-08-31,Calabasas,41.140454724190135
2020-09-01,Calabasas,39.5696627758553
2020-09-02,Calabasas,36.66365955163104
2020-09-03,Calabasas,32.78728843236192
2020-09-04,Calabasas,28.857614255771924
2020-08-31,Canoga Park,227.5256281120544
2020-09-01,Canoga Park,203.45323103351723
2020-09-02,Canoga Park,186.76572674550562
2020-09-03,Canoga Park,164.62802411295468
2020-09-04,Canoga Park,142.32531301825517
2020-08-31,Chatsworth,127.31815719396862
2020-09-01,Chatsworth,112.15640015513611
2020-09-02,Chatsworth,102.0379166710898
2020-09-03,Chatsworth,89.66813381860102
2020-09-04,Chatsworth,77.25213768919478
2020-08-31,Claremont,26.559541287365988
2020-09-01,Claremont,24.770475315994634
2020-09-02,Claremont,22.889615885758836
2020-09-03,Claremont,20.36907648234491
2020-09-04,Claremont,17.814401105558183
2020-08-31,Commerce,102.30892874784902
2020-09-01,Commerce,96.91314662804336
2020-09-02,Commerce,89.15500851427902
2020-09-03,Commerce,79.02381534154411
2020-09-04,Commerce,68.87992363963065
2020-08-31,Compton,305.123903199031
2020-09-01,Compton,263.6944216779975
2020-09-02,Compton,241.22925754009717
2020-09-03,Compton,212.16605168573068
2020-09-04,Compton,182.55382822905892
2020-08-31,Covina,234.70128506912283
2020-09-01,Covina,223.1396026707666
2020-09-02,Covina,207.43489103638157
2020-09-03,Covina,185.74111642974626
2020-09-04,Covina,163.483379343987
2020-08-31,Cudahy,295.3161225886597
2020-09-01,Cudahy,281.2969813319616
2020-09-02,Cudahy,261.0489184988823
2020-09-03,Cudahy,233.65137658469453
2020-09-04,Cudahy,205.52961269173102
2020-08-31,Culver City,50.105941723413416
2020-09-01,Culver City,53.1295706009354
2020-09-02,Culver City,48.395935673756036
2020-09-03,Culver City,42.732649692400436
2020-09-04,Culver City,37.351848929406714
2020-08-31,Downey,246.10117253588626
2020-09-01,Downey,221.13834010050346
2020-09-02,Downey,202.9628475741871
2020-09-03,Downey,178.84044984472644
2020-09-04,Downey,154.87580449469132
2020-08-31,Duarte,72.10146365195433
2020-09-01,Duarte,71.28590627321805
2020-09-02,Duarte,67.24168007127977
2020-09-03,Duarte,61.28803974563614
2020-09-04,Duarte,54.984435968841034
2020-08-31,El Monte,822.8194043398225
2020-09-01,El Monte,739.1422927424125
2020-09-02,El Monte,689.7352774961475
2020-09-03,El Monte,618.1787727365286
2020-09-04,El Monte,544.2914197530082
2020-08-31,El Segundo,34.756567898712525
2020-09-01,El Segundo,30.25840858096075
2020-09-02,El Segundo,27.82452129752932
2020-09-03,El Segundo,24.52056729274992
