City,confirmed_cases,death_cases,pop2010,avg_traffic,avg_asthma,avg_cardiovascular,avg_poverty,avg_elderly,pop_dens
Acton,11,1,53654,1058.69,73.62,11,70.81,5.24,120974
Agoura Hills,35,1,60009,1023.45,77.6,10.95,72.49,5.45,177875.5
Alhambra,226,8,112060,1816.86,47.43,7.17,46,10.4,551582
Altadena,157,5,69531,1379.59,34.64,5.34,55.34,10.67,864902.9
Arcadia,104,7,70416,1305.56,49.61,6.12,73.43,8.78,755363.9
Artesia,42,0,81959,2419.01,57.32,7.71,72.32,7.18,450246.3
Avalon,0,0,61822,1070.75,80.47,6.86,39.31,16.41,172662.7
Baldwin Park,376,6,102100,873.35,65.2,9.63,76.58,4.59,579202.4
Bell,359,23,60537,1702.89,45.64,4.92,54.48,14.39,379878.6
Bell Gardens,339,10,1604,1929.83,149.88,8.24,65.3,6.9,2150.1
Bellflower,435,20,15137,2465.5,71.13,7.54,64.33,8.03,105418.7
Beverly Hills,140,5,7362,969.45,14.71,4.81,9.3,17.2,4591.6
Burbank,405,39,28911,1283.02,40.14,6.9,30.93,11.39,49576.1
Calabasas,85,10,31727,2007.17,24.9,6.03,16.65,18.48,17526.3
Canoga Park,537,27,122005,948.99,47.17,7.6,35.23,11.58,307449.1
Chatsworth,205,25,52783,1229.5,38.68,7.55,17.53,14.91,59984
Claremont,54,0,70103,2265.93,75.35,8.28,48.18,10.32,282360.3
Commerce,81,0,27513,1105.32,44.6,5.18,80.95,6.96,475719.3
Compton,676,15,36203,1917.63,85.94,9.65,57.53,10.4,174396.2
Covina,250,6,42440,1175.55,50.88,7.44,37.24,11.74,171721.6
Cudahy,267,5,26329,1533.23,38.6,4.67,50.14,6.67,516466.6
Culver City,161,20,20516,2183.97,35.91,7.2,19.03,14.81,9185.2
Downey,788,25,68538,2430.57,58.89,9.01,67.24,9.22,202710.2
Duarte,146,16,41859,2073.91,12.64,5.5,29.72,19.67,173311.6
El Monte,599,24,69484,1781.85,23.53,6.01,26.55,14.45,271651.1
