time,date,case_total,case_increase,positive,positive_low,positive_high,positive_increase,week_id,bench_case_total,bench_case_increase,group,,,,
1,3/24/2020,662,126,650,650,650,NA,1,NA,NA,training,,,,
2,3/25/2020,812,150,862.1476849,807.6331614,868.8229822,212.1476849,1,NA,NA,training,,,,
3,3/26/2020,1229,417,1035.928714,952.9845786,1046.085305,173.7810294,1,NA,NA,training,,,variable,description
4,3/27/2020,1465,236,1194.876694,1094.337907,1207.187906,158.9479799,1,NA,NA,training,,,case_total,total # of infected cases (groud truth)
5,3/28/2020,1465,0,1350.941296,1236.880395,1364.908519,156.0646021,1,NA,NA,training,,,case_increase,daily increase of infected cases (groud truth)
6,3/29/2020,1829,364,1510.351493,1383.959359,1525.82899,159.4101972,1,NA,NA,training,,,positve,total # of infected cases (our prediction)
7,3/30/2020,2474,645,1676.516461,1537.837461,1693.498906,166.1649674,1,NA,NA,training,,,positive_low,lower end (2.5%) of our prediction 
8,3/31/2020,3019,545,1851.46471,1700.144716,1869.995597,174.948249,2,2750.857143,276.8571429,training,,,positive_high,higher end(97.5%) of our prediction
9,4/1/2020,3518,499,2036.559037,1872.151302,2056.69323,185.0943266,2,3027.714286,276.8571429,training,,,positive_increase,daily increase of infected cases (our prediction)
10,4/2/2020,4045,527,2232.853228,2054.932042,2254.643049,196.2941917,2,3304.571429,276.8571429,training,,,bench_case_total,total # of infected cases (base prediction)
11,4/3/2020,4566,521,2441.270846,2249.466534,2464.76179,208.4176176,2,3581.428571,276.8571429,training,,,bench_case_increase,daily increase of infected cases(base prediction)
12,4/4/2020,4605,39,2662.69619,2456.70031,2687.926302,221.425344,2,3858.285714,276.8571429,training,,,group,"which group the observation belongs to: training, validate, test "
13,4/5/2020,5955,1350,2898.021455,2677.583325,2925.021758,235.325265,2,4135.142857,276.8571429,training,,,,
14,4/6/2020,6377,422,3148.172288,2913.094637,3176.967325,250.1508331,2,4412,276.8571429,training,,,,
15,4/7/2020,6936,559,3414.122548,3164.25888,3444.730713,265.9502604,3,4969.571429,557.5714286,training,,,,
16,4/8/2020,7559,623,3696.904066,3432.158568,3729.337625,282.7815172,3,5527.142857,557.5714286,training,,,,
17,4/9/2020,7955,396,3997.614192,3717.943015,4031.879144,300.7101261,3,6084.714286,557.5714286,training,,,,
