time,date,death_total,death_increase,dead,dead_low,dead_high,dead_increase,week_id,bench_death_total,bench_death_increase,group,,,,,
1,3/24/2020,11,4,11,11,11,NA,1,NA,NA,training,,,,,
2,3/25/2020,13,2,29.69677228,29.06770465,31.17395341,18.69677228,1,NA,NA,training,,,,,
3,3/26/2020,21,8,45.79419435,44.43994293,48.25018724,16.09742207,1,NA,NA,training,,,,,
4,3/27/2020,26,5,60.8689683,58.71552487,64.06250318,15.07477396,1,NA,NA,training,,,,variable,description
5,3/28/2020,26,0,75.67023914,72.66376964,79.49445148,14.80127084,1,NA,NA,training,,,,death_total,total # of death cases (groud truth)
6,3/29/2020,32,6,90.55869229,86.65970247,94.9758286,14.88845315,1,NA,NA,training,,,,death_increase,daily increase of death cases (groud truth)
7,3/30/2020,44,12,105.7128357,100.8911559,110.719838,15.15414336,1,NA,NA,training,,,,dead,total # of death cases (our prediction)
8,3/31/2020,54,10,121.2260214,115.4574332,126.8365194,15.51318572,2,49.28571429,5.285714286,training,,,,dead_low,lower end (2.5%) of our prediction 
9,4/1/2020,64,10,137.1520346,130.4162526,143.3869342,15.92601321,2,54.57142857,5.285714286,training,,,,dead_high,higher end(97.5%) of our prediction
10,4/2/2020,78,14,153.5265393,145.8061138,160.4090839,16.37450474,2,59.85714286,5.285714286,training,,,,dead_increase,daily increase of death cases (our prediction)
11,4/3/2020,89,11,170.3771644,161.6569403,177.9302736,16.85062509,2,65.14285714,5.285714286,training,,,,bench_death_total,total # of death cases (base prediction)
12,4/4/2020,93,4,187.7282835,177.9951973,195.9730684,17.35111906,2,70.42857143,5.285714286,training,,,,bench_death_increase,daily increase of death cases(base prediction)
13,4/5/2020,132,39,205.6032715,194.8463325,214.5581154,17.87498803,2,75.71428571,5.285714286,training,,,,group,"which group the observation belongs to: training, validate, test "
14,4/6/2020,147,15,224.0256062,212.2360036,233.7055467,18.4223347,2,81,5.285714286,training,,,,,
15,4/7/2020,169,22,243.0194179,230.190676,253.43563,18.9938117,3,95.71428571,14.71428571,training,,,,,
16,4/8/2020,198,29,262.6097577,248.7379395,273.7690941,19.59033978,3,110.4285714,14.71428571,training,,,,,
17,4/9/2020,223,25,282.8227779,267.906746,294.7273365,20.2130202,3,125.1428571,14.71428571,training,,,,,
18,4/10/2020,242,19,303.685855,287.7275394,316.3325055,20.86307713,3,139.8571429,14.71428571,training,,,,,
19,4/11/2020,244,2,325.2276979,308.2323824,338.6075834,21.54184285,3,154.5714286,14.71428571,training,,,,,
20,4/12/2020,269,25,347.4784083,329.455064,361.5764394,22.25071046,3,169.2857143,14.71428571,training,,,,,
21,4/13/2020,322,53,370.4695838,351.4312487,385.2638241,22.99117547,3,184,14.71428571,training,,,,,
22,4/14/2020,360,38,394.2344217,374.198554,409.6954804,23.76483788,4,209,25,training,,,,,
23,4/15/2020,405,45,418.8077688,397.7966834,434.89811,24.57334713,4,234,25,training,,,,,
24,4/16/2020,457,52,444.2262507,421.8079074,461.1507617,25.41848195,4,259,25,training,,,,,
25,4/17/2020,497,40,470.5283877,446.3786378,488.7991413,26.30213692,4,284,25,training,,,,,
26,4/18/2020,576,79,497.7546764,471.8520607,517.3976121,27.22628877,4,309,25,training,,,,,
27,4/19/2020,600,24,525.9477225,498.2807764,546.9830496,28.19304604,4,334,25,training,,,,,
28,4/20/2020,619,19,555.152364,525.7207451,577.5938839,29.20464155,4,359,25,training,,,,,
29,4/21/2020,663,44,585.4158071,554.2315353,609.2701689,30.26344312,5,401.4285714,42.42857143,training,,,,,
30,4/22/2020,732,69,616.7877686,583.8765955,642.0536551,31.37196146,5,443.8571429,42.42857143,training,,,,,
31,4/23/2020,797,65,649.3206285,614.7235427,675.9878659,32.53285986,5,486.2857143,42.42857143,training,,,,,
32,4/24/2020,850,53,683.0695943,646.8444788,711.1181774,33.74896584,5,528.7142857,42.42857143,training,,,,,
33,4/25/2020,895,45,718.0928743,680.3163206,747.4919028,35.02328003,5,571.1428571,42.42857143,training,,,,,
34,4/26/2020,916,21,754.4518631,715.2211661,785.1583797,36.35898872,5,613.5714286,42.42857143,training,,,,,
35,4/27/2020,944,28,792.2113421,751.6466962,824.1690621,37.75947905,5,656,42.42857143,training,,,,,
36,4/28/2020,1002,58,831.439692,789.6865952,864.5776166,39.22834984,6,702.4285714,46.42857143,training,,,,,
37,4/29/2020,1056,54,872.2091186,829.4410139,906.4400236,40.76942662,6,748.8571429,46.42857143,training,,,,,
38,4/30/2020,1111,55,914.5959017,871.017095,949.8146822,42.38678314,6,795.2857143,46.42857143,training,,,,,
39,5/1/2020,1174,63,958.6806505,914.5294895,994.7625211,44.08474881,6,841.7142857,46.42857143,training,,,,,
40,5/2/2020,1209,35,1004.548584,960.1009478,1041.347116,45.86793367,6,888.1428571,46.42857143,training,,,,,
41,5/3/2020,1231,22,1052.289832,1007.862969,1089.634808,47.74124782,6,934.5714286,46.42857143,training,,,,,
42,5/4/2020,1257,26,1101.999754,1057.95649,1139.694834,49.70992164,6,981,46.42857143,training,,,,,
43,5/5/2020,1315,58,1153.779285,1110.532649,1192.252382,51.7795311,7,1025.714286,44.71428571,training,,,,,
44,5/6/2020,1369,54,1207.735303,1165.753582,1247.255296,53.95601825,7,1070.428571,44.71428571,training,,,,,
45,5/7/2020,1418,49,1263.981023,1223.793315,1304.420756,56.24572045,7,1115.142857,44.71428571,training,,,,,
46,5/8/2020,1470,52,1322.201879,1284.292499,1363.397866,58.22085593,7,1159.857143,44.71428571,training,,,,,
47,5/9/2020,1515,45,1380.825634,1345.30826,1422.54509,58.62375428,7,1204.571429,44.71428571,training,,,,,
